Symbol,Price,Time
DCI.NS,245.74,2026-01-02 22:49:03
DCM.NS,92.54,2026-01-02 22:49:03
DCMFINSERV.NS,5.4,2026-01-02 22:49:03
DCMNVL.NS,139.37,2026-01-02 22:49:03
DCMSHRIRAM.NS,1257.2,2026-01-02 22:49:04
DCMSRIND.NS,54.53,2026-01-02 22:49:04
DCW.NS,57.73,2026-01-02 22:49:04
DCXINDIA.NS,193.56,2026-01-02 22:49:04
DDEVPLSTIK.NS,301.45,2026-01-02 22:49:05
DECCANCE.NS,730.9,2026-01-02 22:49:05
DEEDEV.NS,214.9,2026-01-02 22:49:05
DEEPAKFERT.NS,1261.8,2026-01-02 22:49:05
DEEPAKNTR.NS,1711.1,2026-01-02 22:49:06
DEEPINDS.NS,454.75,2026-01-02 22:49:06
DELHIVERY.NS,404.5,2026-01-02 22:49:06
DELPHIFX.NS,234.23,2026-01-02 22:49:06
DELTACORP.NS,70.47,2026-01-02 22:49:07
DELTAMAGNT.NS,67.36,2026-01-02 22:49:07
DEN.NS,31.38,2026-01-02 22:49:07
DENORA.NS,693.85,2026-01-02 22:49:08
DENTA.NS,339.35,2026-01-02 22:49:08
DEVIT.NS,35.65,2026-01-02 22:49:08
DEVX.NS,42.02,2026-01-02 22:49:08
DEVYANI.NS,148.07,2026-01-02 22:49:08
DGCONTENT.NS,32.6,2026-01-02 22:49:09
DHAMPURSUG.NS,123.9,2026-01-02 22:49:09
DHANBANK.NS,24.96,2026-01-02 22:49:09
DHANUKA.NS,1178.7,2026-01-02 22:49:10
DHARAN.NS,0.22,2026-01-02 22:49:10
DHARMAJ.NS,245.15,2026-01-02 22:49:12
DHRUV.NS,47.25,2026-01-02 22:49:12
DHUNINV.NS,1234.8,2026-01-02 22:49:13
DIACABS.NS,137.01,2026-01-02 22:49:13
DIAMINESQ.NS,263.7,2026-01-02 22:49:13
DIAMONDYD.NS,1203.6,2026-01-02 22:49:13
